DATE,EXUSUK
2023-03-01,1.2138
2023-04-01,1.2446
2023-05-01,1.2484
2023-06-01,1.2627
2023-07-01,1.2893
2023-08-01,1.2706
2023-09-01,1.2381
2023-10-01,1.2175
2023-11-01,1.2437
2023-12-01,1.2657
2024-01-01,1.2701
